iter	Passed	Remaining
0	148	29639
1	150	14888
2	151	9970
3	152	7490
4	154	6017
5	155	5043
6	157	4339
7	158	3809
8	160	3400
9	162	3081
10	163	2817
11	165	2590
12	166	2398
13	168	2234
14	169	2088
15	170	1960
16	171	1850
17	173	1750
18	174	1659
19	175	1578
20	176	1504
21	177	1438
22	178	1376
23	180	1320
24	181	1269
25	182	1220
26	183	1175
27	184	1133
28	185	1095
29	187	1061
30	188	1028
31	190	997
32	191	969
33	192	940
34	194	915
35	195	890
36	196	866
37	197	842
38	198	820
39	200	800
40	201	781
41	202	760
42	203	742
43	204	725
44	205	708
45	206	692
46	208	677
47	209	662
48	210	648
49	211	635
50	212	622
51	214	610
52	215	598
53	216	586
54	217	574
55	218	562
56	220	552
57	221	542
58	222	532
59	223	522
60	224	512
61	226	503
62	227	494
63	228	486
64	230	477
65	231	469
66	232	461
67	233	453
68	234	445
69	236	438
70	237	431
71	238	423
72	239	417
73	240	410
74	242	403
75	243	397
76	244	390
77	245	384
78	247	378
79	248	372
80	249	366
81	250	360
82	251	355
83	253	349
84	254	344
85	255	338
86	257	333
87	258	328
88	259	323
89	260	318
90	261	313
91	262	308
92	263	303
93	265	298
94	266	294
95	267	289
96	268	284
97	269	280
98	270	276
99	271	271
100	273	267
101	274	263
102	275	259
103	276	255
104	277	251
105	279	247
106	280	243
107	281	239
108	282	235
109	283	232
110	284	228
111	286	224
112	287	221
113	288	217
114	289	214
115	291	210
116	292	207
117	293	203
118	294	200
119	295	197
120	297	193
121	298	190
122	299	187
123	300	184
124	302	181
125	303	178
126	305	175
127	306	172
128	307	169
129	308	166
130	309	163
131	311	160
132	312	157
133	313	154
134	315	151
135	316	148
136	317	146
137	319	143
138	320	140
139	321	137
140	322	135
141	324	132
142	325	129
143	326	127
144	328	124
145	329	122
146	331	119
147	332	116
148	333	114
149	335	111
150	336	109
151	337	106
152	339	104
153	340	101
154	341	99
155	343	96
156	344	94
157	345	91
158	346	89
159	347	86
160	348	84
161	350	82
162	351	79
163	352	77
164	353	75
165	354	72
166	355	70
167	357	68
168	358	65
169	359	63
170	360	61
171	361	58
172	363	56
173	364	54
174	365	52
175	366	49
176	367	47
177	369	45
178	370	43
179	371	41
180	373	39
181	374	37
182	375	34
183	376	32
184	377	30
185	378	28
186	379	26
187	380	24
188	381	22
189	383	20
190	384	18
191	385	16
192	386	14
193	387	11
194	388	9
195	390	7
196	391	5
197	392	3
198	393	1
199	394	0
