iter	Passed	Remaining
0	141	141031
1	141	70787
2	142	47408
3	143	35680
4	143	28639
5	144	23939
6	145	20584
7	145	18081
8	146	16146
9	147	14630
10	148	13346
11	149	12289
12	150	11389
13	151	10657
14	152	9982
15	152	9390
16	153	8868
17	153	8401
18	154	7982
19	155	7605
20	155	7263
21	156	6957
22	157	6676
23	157	6418
24	158	6200
25	159	5989
26	161	5817
27	162	5629
28	162	5456
29	163	5289
30	164	5139
31	165	4998
32	165	4862
33	166	4734
34	167	4613
35	168	4502
36	175	4557
37	176	4479
38	178	4399
39	179	4302
40	180	4226
41	181	4151
42	182	4068
43	183	3995
44	184	3921
45	185	3855
46	186	3789
47	187	3725
48	188	3661
49	190	3617
50	191	3562
51	192	3507
52	193	3454
53	194	3405
54	195	3354
55	196	3304
56	196	3256
57	197	3209
58	198	3165
59	199	3121
60	200	3079
61	200	3040
62	201	3000
63	202	2961
64	203	2926
65	204	2888
66	204	2854
67	205	2821
68	206	2791
69	207	2759
70	208	2729
71	209	2700
72	210	2671
73	211	2643
74	212	2615
75	212	2589
76	214	2565
77	214	2538
78	215	2517
79	216	2492
80	217	2467
81	218	2445
82	218	2417
83	220	2400
84	220	2378
85	221	2356
86	222	2335
87	223	2314
88	224	2295
89	224	2274
90	227	2275
91	228	2257
92	229	2237
93	230	2217
94	231	2201
95	231	2183
96	232	2164
97	233	2146
98	234	2130
99	234	2113
100	235	2097
101	236	2083
102	237	2067
103	241	2079
104	242	2065
105	243	2051
106	245	2044
107	245	2031
108	246	2018
109	247	2004
110	248	1990
111	249	1978
112	250	1964
113	251	1951
114	252	1939
115	253	1929
116	253	1915
117	254	1902
118	255	1889
119	255	1875
120	256	1862
121	256	1849
122	257	1837
123	258	1824
124	258	1812
125	259	1800
126	260	1787
127	260	1776
128	261	1765
129	262	1754
130	262	1742
131	264	1737
132	265	1729
133	270	1746
134	271	1740
135	272	1733
136	274	1729
137	275	1721
138	276	1712
139	277	1702
140	277	1692
141	278	1681
142	279	1672
143	279	1664
144	280	1655
145	281	1646
146	282	1636
147	282	1628
148	284	1623
149	285	1615
150	286	1608
151	286	1599
152	287	1591
153	288	1583
154	289	1576
155	289	1568
156	290	1560
157	291	1551
158	291	1543
159	292	1534
160	292	1525
161	293	1517
162	294	1510
163	295	1504
164	295	1497
165	296	1490
166	297	1482
167	297	1475
168	298	1468
169	299	1461
170	299	1453
171	300	1446
172	301	1439
173	301	1432
174	302	1425
175	303	1418
176	303	1411
177	304	1405
178	304	1398
179	305	1391
180	306	1385
181	306	1379
182	307	1373
183	308	1366
184	308	1360
185	309	1354
186	310	1349
187	310	1343
188	311	1337
189	312	1332
190	313	1326
191	313	1320
192	314	1314
193	314	1308
194	315	1302
195	315	1296
196	316	1290
197	317	1284
198	317	1279
199	318	1273
200	319	1268
201	319	1262
202	320	1257
203	320	1251
204	321	1246
205	322	1242
206	322	1236
207	323	1231
208	324	1226
209	324	1222
210	325	1217
211	326	1213
212	327	1208
213	327	1203
214	328	1198
215	329	1194
216	329	1189
217	330	1185
218	331	1180
219	331	1176
220	332	1171
221	332	1166
222	333	1162
223	334	1157
224	334	1153
225	335	1148
226	336	1144
227	336	1140
228	337	1135
229	338	1131
230	338	1127
231	339	1124
232	340	1120
233	340	1116
234	341	1112
235	342	1108
236	342	1104
237	343	1099
238	344	1095
239	344	1091
240	345	1088
241	346	1084
242	346	1080
243	347	1076
244	348	1073
245	348	1069
246	349	1065
247	349	1061
248	350	1057
249	351	1053
250	351	1049
251	352	1045
252	352	1041
253	353	1037
254	354	1034
255	355	1031
256	355	1028
257	356	1025
258	357	1021
259	357	1018
